sepal length (cm);sepal width (cm);petal length (cm);petal width (cm);setosa_prob
7.7;3.0;6.1;2.3;6.510414022394551e-06
6.3;3.4;5.6;2.4;7.147354834126121e-06
6.4;3.1;5.5;1.8;7.126749498097813e-06
6.0;3.0;4.8;1.8;2.0728430093582563e-05
6.9;3.1;5.4;2.1;7.150254264887417e-06
6.7;3.1;5.6;2.4;7.150254264887417e-06
6.9;3.1;5.1;2.3;7.149947348828319e-06
5.8;2.7;5.1;1.9;9.37431451302186e-05
6.8;3.2;5.9;2.3;7.147354834126121e-06
6.7;3.3;5.7;2.5;7.147354834126121e-06
6.7;3.0;5.2;2.3;6.752131125257772e-06
6.3;2.5;5.0;1.9;1.837164720399528e-05
6.5;3.0;5.2;2.0;6.752131125257772e-06
6.2;3.4;5.4;2.3;7.147354834126121e-06
5.9;3.0;5.1;1.8;4.369991004618965e-05
